snp_id,position_bp,ld_block,nearby_gene,regulatory_annotation,component_weight,abs_component_weight
rsSYN00001,1000000,block_1,GENE_A,promoter_proximal,0.08444688045716522,0.08444688045716522
rsSYN00002,1002500,block_1,GENE_A,promoter_proximal,-0.10698747376709458,0.10698747376709458
rsSYN00003,1005000,block_1,GENE_A,promoter_proximal,0.17407938638212941,0.17407938638212941
rsSYN00004,1007500,block_1,GENE_A,promoter_proximal,0.2176738887694887,0.2176738887694887
rsSYN00005,1010000,block_1,GENE_A,promoter_proximal,-0.19805010053697492,0.19805010053697492
rsSYN00006,1012500,block_1,GENE_A,promoter_proximal,-0.07939575683269595,0.07939575683269595
rsSYN00007,1015000,block_1,GENE_A,promoter_proximal,0.16011251973759896,0.16011251973759896
rsSYN00008,1017500,block_1,GENE_A,promoter_proximal,0.12253832867261011,0.12253832867261011
rsSYN00009,1020000,block_1,GENE_A,promoter_proximal,0.20084806653953363,0.20084806653953363
rsSYN00010,1022500,block_1,GENE_A,promoter_proximal,0.11343368263884285,0.11343368263884285
rsSYN00011,1025000,block_1,GENE_A,promoter_proximal,0.4161556083479122,0.4161556083479122
rsSYN00012,1027500,block_1,GENE_A,promoter_proximal,0.4487211127615118,0.4487211127615118
rsSYN00013,1030000,block_1,GENE_A,promoter_proximal,0.39472372911308695,0.39472372911308695
rsSYN00014,1032500,block_1,GENE_A,promoter_proximal,0.6115162165858568,0.6115162165858568
rsSYN00015,1035000,block_1,GENE_A,promoter_proximal,0.5747532901447765,0.5747532901447765
rsSYN00016,1037500,block_1,GENE_A,promoter_proximal,0.4421033628587894,0.4421033628587894
rsSYN00017,1040000,block_1,GENE_A,promoter_proximal,0.6962792885687736,0.6962792885687736
rsSYN00018,1042500,block_1,GENE_A,promoter_proximal,0.5699646137697896,0.5699646137697896
rsSYN00019,1045000,block_1,GENE_A,promoter_proximal,0.9203585547130222,0.9203585547130222
rsSYN00020,1047500,block_1,GENE_A,promoter_proximal,0.8568155627872348,0.8568155627872348
rsSYN00021,1050000,block_1,GENE_A,promoter_proximal,0.9120361523551106,0.9120361523551106
rsSYN00022,1052500,block_1,GENE_A,promoter_proximal,0.9115620346553317,0.9115620346553317
rsSYN00023,1055000,block_1,GENE_A,promoter_proximal,1.2681532023930169,1.2681532023930169
rsSYN00024,1057500,block_1,GENE_A,promoter_proximal,1.1284285787803856,1.1284285787803856
rsSYN00025,1060000,block_1,GENE_A,promoter_proximal,1.148605277581875,1.148605277581875
rsSYN00026,1062500,block_1,GENE_A,promoter_proximal,1.2143955229425998,1.2143955229425998
rsSYN00027,1065000,block_1,GENE_A,promoter_proximal,1.3933464060089547,1.3933464060089547
rsSYN00028,1067500,block_1,GENE_A,promoter_proximal,1.4054809651281897,1.4054809651281897
rsSYN00029,1070000,block_1,GENE_B,enhancer_like,1.439761739622913,1.439761739622913
rsSYN00030,1072500,block_1,GENE_B,enhancer_like,1.4590485874009065,1.4590485874009065
rsSYN00031,1075000,block_1,GENE_B,enhancer_like,1.7212396048792082,1.7212396048792082
rsSYN00032,1077500,block_1,GENE_B,enhancer_like,1.3334578640169388,1.3334578640169388
rsSYN00033,1080000,block_1,GENE_B,enhancer_like,1.3010042367726573,1.3010042367726573
rsSYN00034,1082500,block_1,GENE_B,enhancer_like,1.2285801950412525,1.2285801950412525
rsSYN00035,1085000,block_1,GENE_B,enhancer_like,1.4058697695656464,1.4058697695656464
rsSYN00036,1087500,block_1,GENE_B,enhancer_like,1.43652258160319,1.43652258160319
rsSYN00037,1090000,block_1,GENE_B,enhancer_like,1.195708076498402,1.195708076498402
